query_id,retrieval_mode,retrieved_count,judged_relevant_count,mrr,precision_at_5,recall_at_5,ndcg_at_5
thrombosis_q001,direct,8,7,0.5,0.4,0.2857142857142857,0.3318562444770065
thrombosis_q001,hyde,9,7,0.5,0.8,0.5714285714285714,0.5162274965096612
thrombosis_q002,direct,9,6,0.5,0.4,0.3333333333333333,0.3318562444770065
thrombosis_q002,hyde,8,6,1.0,0.6,0.5,0.38715184724299123
thrombosis_q003,direct,7,6,1.0,0.8,0.6666666666666666,0.7242626857711238
thrombosis_q003,hyde,7,6,1.0,1.0,0.8333333333333334,0.9444537180991301
thrombosis_q004,direct,9,10,1.0,0.4,0.2,0.28263350439468005
thrombosis_q004,hyde,8,10,1.0,0.8,0.4,0.5453092190767764
thrombosis_q005,direct,8,6,1.0,0.6,0.5,0.8032973263229353
thrombosis_q005,hyde,7,6,1.0,1.0,0.8333333333333334,0.9686152031181796
thrombosis_q006,direct,10,8,0.16666666666666666,0.0,0.0,0.0
thrombosis_q006,hyde,8,8,0.5,0.8,0.5,0.6174711261427037
thrombosis_q007,direct,8,7,1.0,0.6,0.42857142857142855,0.6099058020499597
thrombosis_q007,hyde,9,7,1.0,0.6,0.42857142857142855,0.42033290860792993
thrombosis_q008,direct,8,5,1.0,0.6,0.6,0.7322342245590217
thrombosis_q008,hyde,8,5,1.0,0.6,0.6,0.6827658641914235
thrombosis_q009,direct,6,3,1.0,0.6,1.0,1.0
thrombosis_q009,hyde,5,3,1.0,0.4,0.6666666666666666,0.9072836011519267
thrombosis_q010,direct,8,6,1.0,1.0,0.8333333333333334,1.0
thrombosis_q010,hyde,8,6,1.0,0.4,0.3333333333333333,0.6061680178534535
thrombosis_q011,direct,5,5,1.0,0.8,0.8,0.8076572091794476
thrombosis_q011,hyde,9,5,1.0,0.6,0.6,0.78506356172312
thrombosis_q012,direct,8,5,1.0,0.2,0.2,0.41607037852292533
thrombosis_q012,hyde,9,5,1.0,0.4,0.4,0.6785815599127776
thrombosis_q013,direct,10,6,1.0,0.6,0.5,0.7175749781746813
thrombosis_q013,hyde,9,6,1.0,0.6,0.5,0.7012869951253081
thrombosis_q014,direct,10,8,0.5,0.8,0.5,0.6002941536044282
thrombosis_q014,hyde,10,8,0.3333333333333333,0.6,0.375,0.3938319821465463
thrombosis_q015,direct,9,13,1.0,0.8,0.3076923076923077,0.6534081967245269
thrombosis_q015,hyde,10,13,1.0,0.4,0.15384615384615385,0.38289523111106333
thrombosis_q016,direct,8,4,1.0,0.4,0.5,0.7424693355471289
thrombosis_q016,hyde,9,4,1.0,0.6,0.75,0.8616869342799657
thrombosis_q017,direct,7,5,1.0,0.4,0.4,0.6844257426140997
thrombosis_q017,hyde,6,5,1.0,0.8,0.8,0.8724997542842517
thrombosis_q018,direct,7,3,1.0,0.4,0.6666666666666666,0.8472668887613066
thrombosis_q018,hyde,6,3,1.0,0.6,1.0,0.9515234565959557
thrombosis_q019,direct,10,7,1.0,0.8,0.5714285714285714,0.7330409974680542
thrombosis_q019,hyde,10,7,1.0,1.0,0.7142857142857143,0.9026211001048622
thrombosis_q020,direct,10,9,1.0,0.6,0.3333333333333333,0.6096731708870796
thrombosis_q020,hyde,10,9,1.0,1.0,0.5555555555555556,0.8869465982421278
thrombosis_q021,direct,9,7,0.5,0.4,0.2857142857142857,0.3318562444770065
thrombosis_q021,hyde,9,7,0.5,0.8,0.5714285714285714,0.3896932134018963
thrombosis_q022,direct,10,8,1.0,0.4,0.25,0.2591217516005785
thrombosis_q022,hyde,10,8,1.0,0.6,0.375,0.6843515475204854
thrombosis_q023,direct,7,5,1.0,0.6,0.6,0.7383121460922933
thrombosis_q023,hyde,8,5,1.0,0.6,0.6,0.7479266229999318
thrombosis_q024,direct,9,9,1.0,0.8,0.4444444444444444,0.7429498456882974
thrombosis_q024,hyde,9,9,0.5,0.4,0.2222222222222222,0.3451913422468693
thrombosis_q025,direct,9,6,1.0,0.6,0.5,0.6827658641914235
thrombosis_q025,hyde,8,6,1.0,0.6,0.5,0.6827658641914235
